Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.16  released 5-9-2005  

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  7-08-2005   9:09:06
Solution file PAR.T35.
Memory used for PAR.T35 arrays:       4.179 M
Reading keyword commands and data from file:
PAR.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-21.001,0.0)
(Zmax,Rmax) = (23.81233,60.8499985)
Z and R increments:    94   122

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   17.6147      0.498770      8.267817E-01  6.242633E-03  8.268053E-01  2.305248E+01
   18.0915      0.498770      8.145440E-01  6.569543E-03  8.145705E-01  2.271112E+01
   18.5682      0.498770      8.016683E-01  6.908819E-03  8.016981E-01  2.235199E+01
   19.0450      0.498770      7.881312E-01  7.258517E-03  7.881646E-01  2.197448E+01
   19.5217      0.498770      7.739177E-01  7.615271E-03  7.739552E-01  2.157811E+01
   19.9984      0.498770      7.590167E-01  7.974894E-03  7.590585E-01  2.116262E+01
   20.4752      0.498770      7.434267E-01  8.332229E-03  7.434734E-01  2.072796E+01
   20.9519      0.498770      7.271570E-01  8.681759E-03  7.272089E-01  2.027443E+01
   21.4286      0.498770      7.102302E-01  9.016981E-03  7.102874E-01  1.980256E+01
   21.9054      0.498770      6.926769E-01  9.329696E-03  6.927397E-01  1.931339E+01
   22.3821      0.498770      6.745457E-01  9.613431E-03  6.746142E-01  1.880826E+01
   22.8589      0.498770      6.558977E-01  9.858583E-03  6.559717E-01  1.828897E+01
   23.3356      0.498770      6.367861E-01  1.001886E-02  6.368650E-01  1.775804E+01
   23.8123      0.498770      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -21.0010      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.5243      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -20.0475      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.5708      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -19.0940      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.6173      0.997541      0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -18.1406      0.997541      1.432436E+00  4.675037E-02  1.433199E+00  8.003255E+01
  -17.6638      0.997541      1.390058E+00  4.194189E-02  1.390691E+00  7.766349E+01
  -17.1871      0.997541      1.352258E+00  3.742411E-02  1.352776E+00  7.555158E+01
  -16.7104      0.997541      1.318700E+00  3.334148E-02  1.319121E+00  7.366825E+01
  -16.2336      0.997541      1.288820E+00  2.967400E-02  1.289162E+00  7.199160E+01
  -15.7569      0.997541      1.262280E+00  2.639380E-02  1.262556E+00  7.049963E+01
  -15.2801      0.997541      1.238661E+00  2.345790E-02  1.238883E+00  6.917329E+01
  -14.8034      0.997541      1.217691E+00  2.085933E-02  1.217870E+00  6.799396E+01
  -14.3267      0.997541      1.199051E+00  1.854379E-02  1.199194E+00  6.694554E+01
  -13.8499      0.997541      1.182458E+00  1.648976E-02  1.182573E+00  6.601357E+01
  -13.3732      0.997541      1.167717E+00  1.467379E-02  1.167809E+00  6.518437E+01
  -12.8965      0.997541      1.154597E+00  1.306160E-02  1.154671E+00  6.444639E+01
  -12.4197      0.997541      1.142898E+00  1.164101E-02  1.142957E+00  6.378923E+01
  -11.9430      0.997541      1.132479E+00  1.038426E-02  1.132527E+00  6.320320E+01
  -11.4662      0.997541      1.123169E+00  9.273507E-03  1.123208E+00  6.268024E+01
  -10.9895      0.997541      1.114857E+00  8.297663E-03  1.114887E+00  6.221268E+01
  -10.5128      0.997541      1.107413E+00  7.435437E-03  1.107438E+00  6.179405E+01
  -10.0360      0.997541      1.100727E+00  6.678768E-03  1.100747E+00  6.141855E+01
  -9.55930      0.997541      1.094721E+00  6.014382E-03  1.094737E+00  6.108080E+01
  -9.08256      0.997541      1.089298E+00  5.430503E-03  1.089312E+00  6.077630E+01
  -8.60582      0.997541      1.084398E+00  4.922835E-03  1.084409E+00  6.050077E+01
  -8.12909      0.997541      1.079947E+00  4.478842E-03  1.079956E+00  6.025058E+01
  -7.65235      0.997541      1.075884E+00  4.093728E-03  1.075892E+00  6.002249E+01
  -7.17561      0.997541      1.072164E+00  3.761452E-03  1.072170E+00  5.981344E+01
