#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-78.5611 -55.044 15050 -110.241 -76.7321 372.401 68.769 211 103394 1 0 1
15.5076 28.5682 15050 -4.2631 -0.895921 393.83 83.1858 211 104608 1 0 1
-154.606 150.259 15050 -134.187 130.059 290.783 64.1346 -13 104800 1001 1 1
-84.7119 84.9974 15050 -61.8146 62.9856 346.353 108.125 -13 105040 1001 1 1
-169.279 -6.41554 15050 -191.96 -5.41661 341.353 68.0644 211 105063 1 0 1
-68.2993 -54.0625 15050 -99.3906 -84.7006 370.932 89.239 211 106241 1 0 1
-93.8528 -40.6277 15050 -115.389 -50.3541 321.887 82.9994 -13 107353 1001 1 1
-175.077 81.594 15050 -192.593 85.8769 354.953 56.4794 -13 107812 1001 1 1
-189.736 -102.81 15050 -206.099 -110.278 315.091 150.545 211 109254 1 0 1
-43.5936 -9.59127 15050 -79.9974 -21.3607 378.674 96.5591 -13 110044 1001 1 1
-217.511 21.2274 15050 -219.235 22.0063 314.037 226.937 -13 111165 1001 1 1
-306.7 19.7113 15050 -176.487 8.94283 190.257 417.767 -13 111192 1001 1 1
-72.4736 -17.123 15050 -110.177 -26.8795 374.421 76.8356 211 111282 1 0 1
-180.957 -49.8342 15050 -202.466 -57.1426 327.451 328.616 -13 111399 1001 1 1
-320.71 64.9756 15050 -269.266 64.5521 273.631 87.1687 211 111474 1 0 1
-272.888 69.2676 15050 -242.297 65.8589 300.255 80.4973 211 111670 1 0 1
45.0433 149.407 15050 42.6948 127.362 370.029 66.9746 211 116411 1 0 1
-9.41849 -11.4896 15050 -33.1331 -47.9527 399.433 86.5015 -13 117130 1001 1 1
-68.1421 -68.6432 15050 -95.486 -96.7936 371.916 67.4169 211 117847 1 0 1
98.609 37.8531 15050 85.434 30.0943 341.833 54.611 -13 117861 1001 1 1
34.0796 87.0429 15050 32.2182 70.8578 385.918 59.6006 211 118598 1 0 1
